src_ip,dst_ip,protocol,length,info
192.168.82.98,104.46.162.225,TCP,55,TLS
104.46.162.225,192.168.82.98,TCP,66,TCP
192.168.82.98,192.168.82.136,UDP,74,DNS
192.168.82.98,192.168.82.136,UDP,74,DNS
192.168.82.136,192.168.82.98,UDP,255,DNS
192.168.82.136,192.168.82.98,UDP,279,DNS
192.168.82.98,192.168.82.136,UDP,80,DNS
192.168.82.98,192.168.82.136,UDP,80,DNS
192.168.82.136,192.168.82.98,UDP,192,DNS
192.168.82.136,192.168.82.98,UDP,216,DNS
192.168.82.98,192.168.82.136,UDP,92,DNS
192.168.82.98,192.168.82.136,UDP,92,DNS
192.168.82.98,192.168.82.136,UDP,92,DNS
192.168.82.98,104.46.162.225,TCP,173,TLS
192.168.82.98,104.46.162.225,TCP,93,TLS
192.168.82.98,104.46.162.225,TCP,16460,TLS
192.168.82.98,104.46.162.225,TCP,4962,TLS
192.168.82.136,192.168.82.98,UDP,257,DNS
192.168.82.136,192.168.82.98,UDP,212,DNS
